Company,Position,Connected On
airtel X Labs,Chief Data Scientist and Executive Vice President,08-May-20
Wipro Digital,Project Engineer,07-May-20
Skillmine Technology Consulting,Deep Learning Engineer,05-May-20
Health And Wellness Club IMT Ghaziabad,Junior Member,02-May-20
Amazon,Applied Scientist,30-Apr-20
Analytics Quotient,Business Analyst,29-Apr-20
"Etaluma, Inc.",CEO,29-Apr-20
,,25-Apr-20
KTH Royal Institute of Technology,Master Thesis Student ,17-Apr-20
"Radiant Design, Chennai",Technical Director,15-Apr-20
NXP Semiconductors,Project Lead,13-Apr-20
Technische Universiteit Delft,Student Assistant,13-Apr-20
Fractal Analytics,Engineer,09-Apr-20
VIT University Chennai,Associate Professor,31-Mar-20
Vellore Institute of Technology,Associate Professor,30-Mar-20
Leiden University Medical Center,Master's Thesis,15-Mar-20
Servify,Product Engineer,12-Mar-20
Coding Club,Learner,11-Mar-20
Aivia Software,"Executive Vice President (at SVision LLC, formerly DRVISION Technologies LLC)",09-Mar-20
Vellore Institute of Technology | Assistant Vice President,Management Intern,06-Mar-20
Siemens,Research Intern,04-Mar-20
,,03-Mar-20
SR2 - Socially Responsible Recruitment ,Head of Engineering,02-Mar-20
Philips,Graduate Intern- Microsystems & devices,01-Mar-20
Technische Universiteit Delft,Doctoral Researcher,26-Feb-20
Technische Universiteit Delft,Graduate Research Student,26-Feb-20
Philips,Campus Recruitment BeNeLux,20-Feb-20
DELMIC B.V.,Applications Specialist,20-Feb-20
CareerCarta,Consultant,20-Feb-20
Schneider Electric,Senior Analyst,20-Feb-20
INDIAN RAILWAYS,Internship,20-Feb-20
ZS,Business Technology Analyst,20-Feb-20
Edelweiss Tokio Life Insurance,Management Associate,20-Feb-20
Oracle,Associate Software Engineer,20-Feb-20
Ericsson India,Software Engineer,20-Feb-20
ZS,Decision Analytics Associate ,20-Feb-20
FiniBrain,Intern,20-Feb-20
Trinity College Dublin,Doctoral Student,20-Feb-20
HCL Technologies,Software Engineer,17-Feb-20
Microsoft,Associate Consultant,17-Feb-20
YER,Talent Acquisition Manager,17-Feb-20
Philips,Graduate Student Intern,17-Feb-20
Prometric,Readiness Specialist,05-Feb-20
Billion Hearts,Business Developer,27-Jan-20
Peacock Solar,Data Analytics Intern,18-Jan-20
IEEE Signal Processing Society,Student Member,09-Jan-20
Delmic,Sales Manager Asia,06-Jan-20
Brinc.io,"Co-Founder, COO & Board Member",06-Jan-20
Philips,"Procurement Engineering (Excellence), Male Grooming, Personal Health",24-Dec-19
Cisco,Software Engineer II ,24-Dec-19
Balmer Lawrie & Co. Ltd.,Supply Chain Intern,13-Dec-19
Vanguard,Research Intern,01-Dec-19
Microsoft,Software Engineer,18-Nov-19
AIESEC in India,Senior Manager at Corporate relations and Education Sector,13-Nov-19
DELMIC B.V.,Junior Mechanical Engineer,21-Oct-19
Vadera & Co.,SSAS Business Analyst,19-Oct-19
"o9 Solutions, Inc.",Data Scientist,15-Oct-19
University of Melbourne,"Senior Advisor, Careers, Learning Design & Facilitation | Careers, Employability and Global Learning",15-Oct-19
Erasmus MC,Master Thesis Project,15-Oct-19
DELMIC B.V.,Experimental Physicist,11-Oct-19
Microsoft,University Recruiter Lead,29-Aug-19
Nazaakat,Founder,23-Jun-19
Société Générale,Software Engineer,17-Jun-19
MyGate,Senior Business Development Manager,20-May-19
Essar,Global Chief Human Resources Officer ,08-Apr-19
Gartner,Lead Skilled Assessor - Europe Midsize Enterprise Sales,13-Mar-19
Bragi,Werkstudent,12-Mar-19
Except Integrated Sustainability,Research And Development Specialist,10-Mar-19
Materials innovation institute M2i,Intern,08-Mar-19
FiberCore Europe,Structural Engineer,07-Mar-19
Arxiv Insights,Machine Learning Researcher,19-Feb-19
PDG Partners,Conseiller auprès du PDG,17-Feb-19
MediaTek,Senior Physical Design Engineer,06-Feb-19
Cloud-Native,CEO at Cloud-Native,06-Feb-19
Larsen & Toubro Infotech Ltd (LTI),Software Engineer,06-Feb-19
Future Job Services,Human Resources Executive,30-Jan-19
Marvell Semiconductor,Hardware Validation Engineer,30-Jan-19
It's Convenient Pty Ltd.,Crew Member,30-Jan-19
Accenture,Summer Intern,30-Jan-19
,,18-Jan-19
Shell,Software Engineer,18-Jan-19
Facebook,Software Engineer,16-Jan-19
Societe Generale Global Solution Centre,Software Engineer,01-Jan-19
Intel Corporation,Design Automation Engineer,01-Jan-19
MTN Nigeria,Data Science Specialist,26-Dec-18
Algofi,Ingénieur d’études,18-Dec-18
Amsterdam UMC,PhD student / Onderzoeker in opleiding,17-Dec-18
Wipro Digital,Quality Analyst,13-Dec-18
TU Delft,Master Thesis Project,11-Dec-18
Albert Heijn,Medewerkeer Verkoopklaar,11-Dec-18
Dispuut Antoni van Leeuwenhoek,Study Tour committee ,11-Dec-18
TOPdesk,Technical Product Specialist,11-Dec-18
Amazon,Senior Recruiter - Student Programs and University Hiring,24-Nov-18
JPMorgan Chase & Co.,Data Scientist - Corporate & Investment Bank,19-Nov-18
Oracle,HCM Consultant,19-Nov-18
University at Buffalo,Graduate Research Assistant,06-Nov-18
Audace Labs,AI Developer,06-Nov-18
The University of Texas at Dallas,Graduate Research Assistant,06-Nov-18
Pearson,Senior machine coordinator,06-Nov-18
AMD,Silicon Design Engineer 2,01-Nov-18
,,27-Oct-18
,,25-Oct-18
ETH Zürich,Bioinformatics Analyst,03-Oct-18
ETH Zürich,Sensor Research and Development,25-Sep-18
Sigmoidal,Owner and Author,16-Sep-18
Marriott International,Manager of Finance,16-Sep-18
Cisco,Network Consulting Engineer,11-Sep-18
Ninjacart,Area Sales Manager - Satellite City Project ,11-Sep-18
Government of West Bengal,Assistant Teacher,11-Sep-18
Amazon,Software Development Engineer,08-Sep-18
Standard Chartered Bank,Analyst,08-Sep-18
Microsoft,Physical Design Engineer,08-Sep-18
ZS,Business Operations Associate,08-Sep-18
KIDOZ Inc.,Software Engineer,08-Sep-18
Automata,Robotics Engineer - Product Owner,08-Sep-18
Aluminium & Chemie Rotterdam BV,Intern,01-Sep-18
Bühler Group,Data Scientist,01-Sep-18
Orange,Responsable Opérationnel de Supervision,30-Aug-18
Procter & Gamble,MBA Summer Intern,23-Aug-18
Association de Préfiguration de la Fondation Cipirsa-Cnam,Président-Fondateur,06-Aug-18
Ford Motor Company,Feature Development Engineer (Body Control Module),04-Aug-18
VALLOTECH,Gérant,24-Jul-18
Capillary Technologies,Machine Learning Engineer,20-Jul-18
Siemens Digital Industries Software,Associate Rotation Engineer,10-Jul-18
INSIGHT2PROFIT,Business Analyst,05-Jul-18
Sungevity International,Product Coordinator,04-Jul-18
Amazon Web Services (AWS),Cloud Support Engineer,02-Jul-18
Apple,ASIC/ Logic Design Engineer,25-Jun-18
Samsung R&D Institute India - Noida,Software Engineer,25-Jun-18
Emerge Vocational Skills P Ltd,Emergeskills ,22-Jun-18
Cisco,Network Consulting Engineer,20-Jun-18
JPMorgan Chase & Co.,SEP software Engineer II,18-Jun-18
Indus Valley Partners,Senior Software Engineer,05-Jun-18
Apple,Design Verification Engineer,04-Jun-18
Harvard Business Review,Member HBR Ascend Select,04-Jun-18
BPG,Gérant concession,04-Jun-18
,,04-Jun-18
Amaris,Manager,29-May-18
Delft University of Technology,Graduate Student,25-May-18
,,24-May-18
Apt Software Avenues (P) Ltd.,Intern,24-May-18
Schneider Electric,Graduate Engineer Trainee,24-May-18
ZS,Decision Analytics Associate,24-May-18
,,24-May-18
Kongsberg Digital,Software Engineer Trainee,24-May-18
Intel Corporation,Verification Engineer,24-May-18
ZS,Business Technology Analyst,24-May-18
,,24-May-18
Trafigura,Deals Desk Analyst,24-May-18
,,18-May-18
Beekeeper,Senior Software Engineer,06-May-18
Tata Consultancy Services,Associate,30-Apr-18
Schneider Electric,Responsable grands comptes et Prescription Marché Home&Distribution,30-Apr-18
Technische Universiteit Delft,Phd Candidate (Design for Sub-scale Flight Testing),27-Apr-18
Open Universiteit,PHD Researcher,26-Apr-18
HERE Technologies,Director of Finance,17-Apr-18
Vrije Universiteit Amsterdam (VU Amsterdam),Full Professor,14-Apr-18
PANDA Guide,CMO,19-Mar-18
International STREAM Olympiads,Head Of Operations,17-Mar-18
BlueLife AI,Co-Founder & COO,15-Mar-18
Code Royale,Co-Founder,15-Mar-18
BlueLife AI,Co-Founder & CEO,14-Mar-18
LinkedIn,Software Engineer,11-Mar-18
Salesforce,Senior Data Scientist,28-Feb-18
NLC India Limited,Internship Trainee,28-Feb-18
Wipro Digital,Project Engineer,11-Feb-18
HydroChain,"Co-fondateur, Specialiste blockchain",10-Feb-18
Anuta Networks,Software Engineer,17-Jan-18
YouSupply Enterprise,CEO,17-Jan-18
career technology,Entrepreneur,15-Jan-18
School,Office Administrator,03-Jan-18
Nutanix,Senior Systems Reliability Engineer,26-Dec-17
imec,Principal Member Of Technical Staff,16-Dec-17
Intys Consulting,Responsable IT,07-Dec-17
Velociraptor Racing,Team Captain,23-Nov-17
Sanofi,PMO en management de projets RPA,23-Nov-17
Tetrasoft Inc.,Information Technology Technical Recruiter,15-Nov-17
MUMMADI INDIA INDUSTRIES PRIVATE LIMITED,Owner/Managing Director,14-Nov-17
SION Semiconductors Private Limited,Talent Acquisition Executive,14-Nov-17
Intel Corporation,Design Verification Engineer(SoC/IP),07-Nov-17
Infosys,Software Engineer,07-Nov-17
Infosys Limited,System Engineer Trainee,06-Nov-17
Kimberly-Clark,"Lead Tech. Architect-Big Data Engg(Cloudera),Azure Cloud, AI/ML & DevOps, MLOps, Stream Analytics",06-Nov-17
B9 Beverages Pvt Ltd,Store Manager,05-Nov-17
MyHindiNotes,"Co-Founder / Author, Web Researcher",05-Nov-17
_VOIS,Senior Executive,05-Nov-17
g.tec medical engineering GmbH,Head of Marketing,03-Nov-17
Óbuda University,Associate Professor,01-Nov-17
Neurosity,Co-Founder,18-Oct-17
,,17-Oct-17
,,15-Oct-17
,,11-Oct-17
Polyconseil,Data Scientist,15-Sep-17
Accenture Interactive,Programmatic Manager (Digital Marketing) - APAC/NA,08-Sep-17
Tata Consultancy Services,System Engineer,07-Sep-17
Texas Instruments,Digital Design Engineer(DFT) - Radar & Analytics Processors (RAP) - Embedded Processing,07-Sep-17
Bhabha Atomic Research Centre,Intern,07-Sep-17
Wipro Technologies,Project Engineer,07-Sep-17
,,07-Sep-17
Medialog SARL,Chef de projet,07-Sep-17
University of Nicosia (UNic),Cultural & Political Geography Professor,05-Sep-17
"RISE Labs, IIT Madras",Project Associate,01-Sep-17
Infosys,System Engineer,23-Aug-17
Infosys,Technology Analyst,23-Aug-17
"RP hall of residence, IIT Kharagpur","Secretary, Cricket and athletics",23-Aug-17
Groupe SII,Ingénieur numérique,22-Aug-17
Enverus,Senior Analyst,22-Aug-17
Vestas,Wind & Site Engineer,22-Aug-17
Keysight Technologies,Test Engineer,22-Aug-17
XTM technologie SAS (Réunion / Maurice),Ingénieur informatique,22-Aug-17
alphaviva.care,Co-créateur,31-Jul-17
,,31-Jul-17
Eklore,Présidente fondatrice,30-Jul-17
PayPal,Software Engineer,20-Jul-17
Philips,Robotics process automation developer,20-Jul-17
ICICI Bank,Management Trainee,19-Jul-17
Mercedes-Benz Research and Development India,Project Engineer,13-Jul-17
Asian Paints,Area Sales Manager,05-Jul-17
VIT University (Chennai Campus),Student,05-Jul-17
Orcapod,Sr.Consultant,05-Jul-17
Safran,Stage de fin d'étude - Déploiement et standardisation de la démarche PCA au sein du Groupe,05-Jul-17
AXA en France,Analyste des investissements,04-Jul-17
RBS,Software Development Engineer,29-Jun-17
重庆两江新区市政景观建设有限公司 ChongQing LiangJiang New Area Municipal Landscape Construction Co.Ltd,市场经理 Marketing Manager,08-Jun-17
Cisco,Consulting Engineer (Solution Validation),07-Jun-17
Tata Consultancy Services,Assistant System Engineer,07-Jun-17
Deloitte India (Offices of the US),Analyst,02-Jun-17
Oregon State University,Assistant Professor,15-May-17
Oracle,Programmer Analyst 2,14-May-17
